route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,exceptional,sub_agency_id
L25,0000001-5,25_7265_230402,"Bílá Hora",,1,,L25V5,1,0,0,1
L25,0000001-5,25_7217_230415,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-5,25_7218_230402,"Bílá Hora",,1,,L25V5,1,0,0,1
L25,0000001-5,25_7219_230415,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-5,25_7267_230402,"Bílá Hora",,1,,L25V5,1,0,0,1
L25,0000001-5,25_7268_230416,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-5,25_7269_230402,"Bílá Hora",,1,,L25V5,1,0,0,1
L25,0000001-6,25_7271_230430,"Lehovec",,0,,L25V4,2,0,0,1
L25,0000001-6,25_7272_230430,"Bílá Hora",,1,,L25V5,2,0,0,1
L25,0000001-6,25_7273_230430,"Lehovec",,0,,L25V4,2,0,0,1
L25,0000001-6,25_7243_230430,"Bílá Hora",,1,,L25V5,2,0,0,1
L25,0000001-6,25_7244_230430,"Lehovec",,0,,L25V4,2,0,0,1
L25,0000001-6,25_7245_230430,"Bílá Hora",,1,,L25V5,2,0,0,1
L25,0000001-6,25_7246_230430,"Lehovec",,0,,L25V4,2,0,0,1
L25,0000001-5,25_7274_230416,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-5,25_7275_230402,"Bílá Hora",,1,,L25V5,1,0,0,1
L25,0000001-5,25_7276_230416,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-6,25_7149_230430,"Bílá Hora",,1,,L25V5,2,0,0,1
L25,0000001-6,25_7150_230430,"Lehovec",,0,,L25V4,2,0,0,1
L25,0000001-6,25_7151_230430,"Bílá Hora",,1,,L25V5,2,0,0,1
L25,0000001-6,25_7152_230430,"Lehovec",,0,,L25V4,2,0,0,1
L25,0000001-5,25_7278_230416,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-5,25_7279_230402,"Bílá Hora",,1,,L25V5,1,0,0,1
L25,0000001-5,25_7280_230416,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-5,25_7281_230416,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-5,25_7282_230402,"Bílá Hora",,1,,L25V5,1,0,0,1
L25,0000001-5,25_7283_230416,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-5,25_7284_230326,"Bílá Hora",,1,,L25V5,1,0,0,1
L25,0000001-5,25_7285_230416,"Lehovec",,0,,L25V4,1,0,0,1
L25,0000001-5,25_7286_230402,"Bílá Hora",,1,,L25V5,1,0,0,1
L25,0000001-5,25_7195_230415,"Lehovec",,0,,L25V4,1,0,0,1
L26,0000001-6,26_7893_230430,"Divoká Šárka",,1,,L26V2,2,0,0,1
L26,0000001-6,26_6795_230430,"Nádraží Hostivař",,0,,L26V3,2,0,0,1
L26,0000001-6,26_7833_230430,"Divoká Šárka",,1,,L26V2,2,0,0,1
L26,0000001-6,26_6783_230430,"Nádraží Hostivař",,0,,L26V3,2,0,0,1
L26,0000001-6,26_7834_230430,"Divoká Šárka",,1,,L26V2,2,0,0,1
L26,0000001-6,26_6784_230430,"Nádraží Hostivař",,0,,L26V3,2,0,0,1
L26,0000001-6,26_7895_230430,"Divoká Šárka",,1,,L26V2,2,0,0,1
L26,0000001-6,26_6796_230430,"Nádraží Hostivař",,0,,L26V3,2,0,0,1
L26,0000001-6,26_7896_230430,"Divoká Šárka",,1,,L26V2,1,0,0,1
L26,0000001-6,26_6797_230430,"Nádraží Hostivař",,0,,L26V3,1,0,0,1
L26,0000001-6,26_6799_230430,"Nádraží Hostivař",,0,,L26V3,1,0,0,1
L26,0000001-6,26_7897_230430,"Divoká Šárka",,1,,L26V2,1,0,0,1
L26,0000001-6,26_6798_230430,"Nádraží Hostivař",,0,,L26V3,1,0,0,1
L26,0000001-5,26_6801_230430,"Nádraží Hostivař",,0,,L26V3,2,0,0,1
L26,0000001-6,26_7898_230430,"Divoká Šárka",,1,,L26V2,2,0,0,1
L26,0000001-6,26_6800_230430,"Nádraží Hostivař",,0,,L26V3,2,0,0,1
L26,0000001-5,26_6802_230430,"Nádraží Hostivař",,0,,L26V3,1,0,0,1
L26,0000001-6,26_7899_230430,"Divoká Šárka",,1,,L26V2,1,0,0,1
L26,0000001-5,26_6803_230430,"Nádraží Hostivař",,0,,L26V3,1,0,0,1
L26,0000001-6,26_3341_230430,"Divoká Šárka",,1,,L26V2,1,0,0,1
L26,0000001-6,26_6773_230430,"Nádraží Hostivař",,0,,L26V3,1,0,0,1
L26,0000001-6,26_7889_230430,"Divoká Šárka",,1,,L26V2,1,0,0,1
L26,0000001-6,26_6774_230430,"Nádraží Hostivař",,0,,L26V3,1,0,0,1
L26,0000001-5,26_6804_230430,"Nádraží Hostivař",,0,,L26V3,1,0,0,1
L26,0000001-6,26_3343_230430,"Divoká Šárka",,1,,L26V2,1,0,0,1
L2,0000001-6,2_4835_230514,"Sídliště Petřiny",,1,,L2V10,2,0,0,1
L2,0000001-6,2_4836_230514,"Nádraží Braník",,0,,L2V9,2,2,0,1
L2,0000001-6,2_4837_230514,"Sídliště Petřiny",,1,,L2V10,2,0,0,1
L2,0000001-6,2_1365_230514,"Nádraží Braník",,0,,L2V9,2,2,0,1
L2,0000001-6,2_7221_230514,"Nádraží Braník",,0,,L92V7,2,2,1,1
L2,0000011-14,2_7222_230514,"Nádraží Braník",,0,,L92V7,1,2,1,1
L2,0000001-6,2_4708_230514,"Sídliště Petřiny",,1,,L2V10,1,0,0,1
L2,0000001-6,2_4824_230514,"Nádraží Braník",,0,,L2V9,1,2,0,1
L2,0000001-6,2_4825_230514,"Sídliště Petřiny",,1,,L2V10,1,0,0,1
L2,0000001-6,2_4726_230514,"Nádraží Braník",,0,,L2V9,1,2,0,1
L25,0000001-6,25_7600_230514,"Bílá Hora",,1,,L25V13,2,0,1,1
L25,0000001-6,25_7601_230514,"Lehovec",,0,,L25V15,2,0,1,1
L25,0000001-6,25_7295_230514,"Bílá Hora",,1,,L25V18,2,0,1,1
L2,0000001-6,2_4826_230514,"Nádraží Braník",,0,,L2V9,2,2,0,1
L2,0000001-6,2_4813_230514,"Sídliště Petřiny",,1,,L2V10,2,0,0,1
L2,0000001-6,2_4814_230514,"Nádraží Braník",,0,,L2V9,2,2,0,1
L2,0000001-6,2_4815_230514,"Sídliště Petřiny",,1,,L2V10,2,0,0,1
L2,0000001-6,2_4816_230514,"Nádraží Braník",,0,,L2V9,2,2,0,1
L2,0000001-6,2_4817_230514,"Sídliště Petřiny",,1,,L2V10,2,0,0,1
L2,0000001-6,2_4818_230514,"Nádraží Braník",,0,,L2V9,2,2,0,1
L2,0000001-6,2_4819_230514,"Sídliště Petřiny",,1,,L2V10,2,0,0,1
L2,0000001-6,2_4820_230514,"Nádraží Braník",,0,,L2V9,2,2,0,1
L2,0000001-6,2_4821_230514,"Sídliště Modřany",,0,,L2V16,2,0,1,1
L2,0000001-6,2_7223_230514,"Nádraží Braník",,0,,L2V17,2,2,1,1
L2,0000001-6,2_4823_230514,"Sídliště Modřany",,0,,L2V16,2,0,1,1
L2,0000001-6,2_4838_230514,"Nádraží Braník",,0,,L2V9,1,2,0,1
L2,0000001-6,2_4839_230514,"Sídliště Petřiny",,1,,L2V10,1,0,0,1
L2,0000001-6,2_4840_230514,"Nádraží Braník",,0,,L2V9,1,2,0,1
L2,0000001-6,2_6078_230514,"Sídliště Modřany",,0,,L2V16,1,0,1,1
L1,0000011-14,1_6122_230514,"Sídliště Ďáblice",,0,,L1V2,2,0,0,1
L1,1111100-11,1_7245_230515,"Sídliště Ďáblice",,0,,L1V7,2,0,1,1
L1,1111100-11,1_7246_230515,"Sídliště Petřiny",,1,,L1V1,1,0,1,1
L1,1111100-11,1_6269_230515,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111100-11,1_6867_230515,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-11,1_6271_230515,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111100-11,1_6790_230515,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-11,1_6273_230515,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111100-11,1_6785_230515,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-11,1_6275_230515,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111100-11,1_6779_230515,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-11,1_6277_230515,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111100-11,1_6868_230515,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-11,1_6279_230515,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111100-11,1_6869_230515,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-11,1_6281_230515,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111100-11,1_6762_230515,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
