route_id,direction_id,stop_id,stop_sequence
L2,1,U237Z5P,9
L2,1,U237Z1P,10
L2,1,U237Z13P,11
L2,1,U539Z2P,12
L2,1,U483Z2P,13
L2,1,U221Z2P,14
L2,1,U703Z2P,15
L2,1,U360Z2P,16
L2,1,U187Z2P,17
L2,1,U163Z2P,18
L2,1,U592Z2P,19
L2,1,U867Z2P,20
L2,1,U645Z2P,21
L2,1,U519Z2P,22
L2,1,U15Z2P,23
L2,1,U858Z2P,24
L2,1,U844Z2P,25
L2,1,U507Z2P,26
L2,1,U541Z4P,27
L2,0,U541Z1P,1
L2,0,U507Z1P,2
L2,0,U844Z1P,3
L2,0,U858Z1P,4
L2,0,U15Z1P,5
L2,0,U519Z1P,6
L2,0,U645Z1P,7
L2,0,U867Z1P,8
L2,0,U592Z1P,9
L2,0,U163Z1P,10
L2,0,U187Z1P,11
L2,0,U360Z1P,12
L2,0,U703Z1P,13
L2,0,U221Z1P,14
L2,0,U483Z1P,15
L2,0,U539Z1P,16
L2,0,U237Z2P,17
L2,0,U237Z4P,18
L2,0,U237Z6P,19
L2,0,U237Z8P,20
L2,0,U878Z2P,21
L2,0,U878Z4P,22
L2,0,U876Z4P,23
L2,0,U522Z2P,24
L2,0,U724Z2P,25
L2,0,U83Z2P,26
L2,0,U482Z6P,27
L2,0,U482Z3P,28
L3,1,U718Z1P,1
L3,1,U675Z1P,2
L3,1,U249Z1P,3
L3,1,U514Z1P,4
L3,1,U870Z1P,5
L3,1,U54Z1P,6
L3,1,U861Z1P,7
L3,1,U779Z1P,8
L3,1,U471Z1P,9
L3,1,U272Z1P,10
L3,1,U529Z1P,11
L3,1,U655Z1P,12
L3,1,U816Z1P,13
L3,1,U758Z1P,14
L3,1,U854Z1P,15
L3,1,U689Z1P,16
L3,1,U32Z1P,17
L3,1,U480Z3P,18
L3,1,U203Z1P,19
L3,1,U1072Z1P,20
L3,1,U484Z1P,21
L3,1,U997Z1P,22
L3,1,U237Z2P,23
L3,1,U237Z4P,24
L3,1,U237Z6P,25
L3,1,U237Z8P,26
L3,1,U878Z2P,27
L3,1,U583Z2P,28
L3,1,U303Z2P,29
L3,1,U110Z2P,30
L3,1,U614Z2P,31
L3,1,U387Z2P,32
L3,1,U449Z2P,33
L3,1,U71Z2P,34
L3,1,U19Z2P,35
L3,1,U76Z2P,36
L3,1,U388Z2P,37
L3,1,U1006Z2P,38
L3,1,U929Z2P,39
L3,1,U948Z2P,40
L3,1,U947Z2P,41
L3,1,U946Z2P,42
L3,0,U945Z1P,1
L3,0,U946Z1P,2
L3,0,U947Z1P,3
L3,0,U948Z1P,4
L3,0,U929Z1P,5
L3,0,U1006Z1P,6
L3,0,U388Z1P,7
L3,0,U76Z1P,8
L3,0,U19Z1P,9
L3,0,U71Z1P,10
L3,0,U449Z1P,11
L3,0,U387Z1P,12
L3,0,U614Z1P,13
L3,0,U110Z1P,14
L3,0,U303Z1P,15
L3,0,U583Z1P,16
L3,0,U878Z1P,17
L3,0,U237Z7P,18
L3,0,U237Z5P,19
L3,0,U237Z1P,20
L3,0,U237Z13P,21
L3,0,U997Z2P,22
L3,0,U484Z2P,23
L3,0,U1072Z2P,24
L3,0,U203Z2P,25
L3,0,U480Z4P,26
L3,0,U32Z2P,27
L3,0,U689Z2P,28
L3,0,U854Z2P,29
L3,0,U758Z2P,30
L3,0,U816Z2P,31
L3,0,U655Z2P,32
L3,0,U529Z4P,33
L3,0,U471Z2P,34
L3,0,U779Z2P,35
L3,0,U861Z2P,36
L3,0,U54Z2P,37
L3,0,U870Z2P,38
L3,0,U514Z2P,39
L3,0,U249Z2P,40
L3,0,U675Z2P,41
L4,1,U473Z3P,1
L4,1,U680Z1P,2
L4,1,U269Z1P,3
L4,1,U67Z7P,4
L4,1,U391Z1P,5
L4,1,U627Z1P,6
L4,1,U301Z1P,7
L4,1,U354Z1P,8
L4,1,U476Z1P,9
L4,1,U190Z1P,10
L4,1,U739Z1P,11
L4,1,U237Z3P,12
L4,1,U237Z4P,13
L4,1,U237Z6P,14
L4,1,U901Z2P,15
L4,1,U1040Z4P,16
L4,1,U1040Z6P,17
L4,1,U553Z2P,18
L4,1,U458Z2P,19
L4,1,U337Z2P,20
L4,1,U914Z2P,21
L4,1,U147Z6P,22
L4,1,U49Z4P,23
L4,1,U1049Z4P,24
L4,1,U1050Z4P,25
L4,1,U1030Z2P,26
L4,1,U1019Z2P,27
L4,0,U1019Z1P,1
L4,0,U1030Z1P,2
L4,0,U1050Z3P,3
L4,0,U1049Z3P,4
L4,0,U49Z5P,5
L4,0,U147Z5P,6
L4,0,U914Z1P,7
L4,0,U337Z1P,8
L4,0,U458Z1P,9
L4,0,U553Z1P,10
L4,0,U1040Z5P,11
L4,0,U1040Z3P,12
L4,0,U901Z1P,13
L4,0,U237Z5P,14
L4,0,U237Z1P,15
L4,0,U739Z2P,16
L4,0,U190Z2P,17
L4,0,U476Z2P,18
L4,0,U354Z2P,19
L4,0,U301Z2P,20
L4,0,U627Z2P,21
L4,0,U391Z2P,22
L4,0,U67Z2P,23
L4,0,U269Z2P,24
L4,0,U680Z2P,25
L4,0,U473Z2P,26
L5,1,U694Z1P,1
L5,1,U266Z1P,2
L5,1,U180Z1P,3
L5,1,U714Z1P,4
L5,1,U837Z1P,5
L5,1,U512Z1P,6
L5,1,U34Z1P,7
L5,1,U469Z1P,8
L5,1,U469Z3P,9
L5,1,U586Z1P,10
L5,1,U516Z1P,11
L5,1,U339Z1P,12
L5,1,U172Z1P,13
L5,1,U142Z1P,14
L5,1,U203Z1P,15
L5,1,U1072Z1P,16
L5,1,U484Z1P,17
L5,1,U997Z1P,18
L5,1,U401Z2P,19
L5,1,U208Z2P,20
L5,1,U901Z2P,21
L5,1,U1040Z4P,22
L5,1,U1040Z6P,23
L5,1,U553Z2P,24
L5,1,U458Z2P,25
L5,1,U337Z2P,26
L5,1,U914Z2P,27
L5,1,U147Z6P,28
L5,1,U49Z4P,29
L5,1,U1049Z4P,30
L5,1,U1050Z4P,31
L5,1,U1030Z2P,32
L5,1,U1019Z2P,33
L5,1,U2701Z2P,34
L5,1,U2702Z2P,35
L5,0,U2702Z1P,1
L5,0,U2701Z1P,2
L5,0,U1019Z1P,3
L5,0,U1030Z1P,4
L5,0,U1050Z3P,5
L5,0,U1049Z3P,6
L5,0,U49Z5P,7
L5,0,U147Z5P,8
L5,0,U914Z1P,9
L5,0,U337Z1P,10
L5,0,U458Z1P,11
L5,0,U553Z1P,12
L5,0,U1040Z5P,13
L5,0,U1040Z3P,14
L5,0,U901Z1P,15
L5,0,U208Z1P,16
L5,0,U401Z1P,17
L5,0,U997Z2P,18
L5,0,U484Z2P,19
L5,0,U1072Z2P,20
L5,0,U203Z2P,21
L5,0,U142Z2P,22
L5,0,U172Z2P,23
L5,0,U339Z2P,24
L5,0,U516Z2P,25
L5,0,U586Z2P,26
L5,0,U469Z4P,27
L5,0,U469Z2P,28
L5,0,U34Z2P,29
L5,0,U512Z2P,30
L5,0,U837Z2P,31
L5,0,U714Z2P,32
L5,0,U180Z2P,33
L5,0,U266Z2P,34
L5,0,U694Z2P,35
L6,1,U473Z3P,1
L6,1,U680Z1P,2
L6,1,U269Z1P,3
L6,1,U508Z1P,4
L6,1,U463Z1P,5
L6,1,U482Z5P,6
L6,1,U504Z1P,7
L6,1,U560Z1P,8
L6,1,U45Z1P,9
L6,1,U190Z1P,10
L6,1,U739Z1P,11
L6,1,U237Z3P,12
L6,1,U237Z13P,13
L6,1,U997Z2P,14
L6,1,U484Z2P,15
L6,1,U1072Z2P,16
L6,1,U203Z2P,17
L6,1,U480Z4P,18
L6,1,U480Z2P,19
L6,1,U87Z2P,20
L6,1,U717Z4P,21
L6,1,U841Z2P,22
L6,1,U532Z2P,23
L6,1,U115Z4P,24
L6,1,U521Z2P,25
L6,1,U81Z1P,26
L6,1,U365Z2P,27
L6,1,U331Z2P,28
L6,1,U529Z2P,29
L6,1,U12Z2P,30
L6,1,U308Z2P,31
L6,1,U464Z2P,32
L6,1,U474Z8P,33
L6,1,U474Z2P,34
L6,0,U474Z1P,1
L6,0,U474Z3P,2
L6,0,U464Z1P,3
L6,0,U308Z1P,4
L6,0,U12Z1P,5
L6,0,U529Z5P,6
L6,0,U529Z3P,7
L6,0,U331Z1P,8
L6,0,U365Z1P,9
L6,0,U1122Z1P,10
L6,0,U521Z1P,11
L6,0,U115Z3P,12
L6,0,U532Z1P,13
L6,0,U841Z1P,14
L6,0,U717Z5P,15
L6,0,U439Z1P,16
L6,0,U87Z1P,17
L6,0,U480Z1P,18
L6,0,U480Z3P,19
L6,0,U203Z1P,20
L6,0,U1072Z1P,21
L6,0,U484Z1P,22
L6,0,U997Z1P,23
L6,0,U237Z2P,24
L6,0,U739Z2P,25
L6,0,U190Z2P,26
L6,0,U45Z2P,27
L6,0,U560Z2P,28
L6,0,U504Z2P,29
L6,0,U482Z6P,30
L6,0,U463Z2P,31
L6,0,U508Z2P,32
L6,0,U269Z2P,33
L6,0,U680Z2P,34
L6,0,U473Z2P,35
L7,1,U1071Z9P,1
L7,1,U1071Z11P,2
L7,1,U70Z1P,3
L7,1,U827Z3P,4
L7,1,U900Z1P,5
L7,1,U690Z1P,6
L7,1,U848Z1P,7
L7,1,U713Z1P,8
L7,1,U605Z1P,9
L7,1,U473Z1P,10
L7,1,U680Z1P,11
L7,1,U269Z1P,12
L7,1,U508Z1P,13
L7,1,U463Z1P,14
L7,1,U482Z5P,15
L7,1,U83Z1P,16
L7,1,U724Z1P,17
L7,1,U522Z1P,18
L7,1,U876Z1P,19
L7,1,U878Z3P,20
L7,1,U878Z1P,21
L7,1,U237Z7P,22
L7,1,U901Z2P,23
L7,1,U1040Z2P,24
L7,1,U302Z2P,25
L7,1,U1044Z2P,26
L7,1,U319Z2P,27
L7,1,U184Z4P,28
L7,1,U957Z4P,29
L7,0,U957Z3P,1
L7,0,U184Z3P,2
L7,0,U319Z1P,3
L7,0,U1044Z1P,4
L7,0,U302Z1P,5
L7,0,U1040Z1P,6
L7,0,U901Z1P,7
L7,0,U237Z8P,8
L7,0,U878Z2P,9
L7,0,U878Z4P,10
L7,0,U876Z4P,11
L7,0,U522Z2P,12
L7,0,U724Z2P,13
L7,0,U83Z2P,14
L7,0,U482Z6P,15
L7,0,U463Z2P,16
L7,0,U508Z2P,17
L7,0,U269Z2P,18
L7,0,U680Z2P,19
L7,0,U473Z2P,20
L7,0,U605Z2P,21
L7,0,U713Z2P,22
L7,0,U848Z2P,23
L7,0,U1108Z2P,24
L7,0,U690Z2P,25
L7,0,U900Z2P,26
L7,0,U827Z4P,27
L7,0,U70Z2P,28
L7,0,U1071Z10P,29
L8,1,U144Z5P,1
L8,1,U755Z1P,2
L8,1,U775Z1P,3
L8,1,U691Z1P,4
L8,1,U1401Z1P,5
L8,1,U134Z1P,6
L8,1,U348Z1P,7
L8,1,U1075Z1P,8
L8,1,U12Z3P,9
L8,1,U529Z5P,10
L8,1,U529Z1P,11
L8,1,U655Z1P,12
L8,1,U816Z1P,13
L8,1,U758Z1P,14
L8,1,U854Z1P,15
L8,1,U689Z1P,16
L8,1,U32Z1P,17
L8,1,U480Z2P,18
L8,1,U87Z2P,19
L8,1,U717Z4P,20
L8,1,U231Z2P,21
L8,1,U324Z2P,22
L8,1,U262Z2P,23
L8,1,U692Z2P,24
L8,1,U163Z2P,25
L8,1,U321Z4P,26
L8,1,U321Z2P,27
L8,1,U757Z2P,28
L8,1,U130Z2P,29
L8,1,U40Z2P,30
L8,1,U157Z2P,31
L8,1,U943Z2P,32
L8,1,U73Z2P,33
L8,0,U73Z1P,1
L8,0,U943Z1P,2
L8,0,U157Z1P,3
L8,0,U40Z1P,4
L8,0,U130Z1P,5
L8,0,U757Z1P,6
L8,0,U321Z1P,7
L8,0,U321Z3P,8
L8,0,U163Z1P,9
L8,0,U692Z1P,10
L8,0,U324Z1P,11
L8,0,U231Z1P,12
L8,0,U717Z1P,13
